generation 0
[30, 30, 30, 30, 30, 20, 4]	0.1495	16
[25, 25, 25, 25, 25, 15, 6]	0.1524	16
[15, 15, 15, 15, 15, 10, 4]	0.1921	16
[40, 40, 40, 40, 40, 30, 8]	0.2481	16
[35, 35, 35, 35, 35, 25, 8]	0.2551	16
[5, 5, 5, 5, 5, 5, 2]	0.5386	16
generation 1
[17, 31, 15, 17, 30, 21, 5]	0.1333	18
[31, 36, 31, 37, 31, 22, 4]	0.1423	18
[36, 17, 36, 37, 15, 25, 4]	0.1446	18
[40, 5, 40, 40, 6, 30, 2]	0.1469	18
[30, 30, 30, 30, 30, 20, 4]	0.1495	16
[25, 25, 25, 25, 25, 15, 6]	0.1524	16
[15, 15, 16, 42, 16, 10, 5]	0.1679	18
[15, 15, 15, 15, 15, 10, 4]	0.1921	16
[40, 40, 40, 40, 40, 30, 8]	0.2481	16
[35, 35, 35, 35, 35, 25, 8]	0.2551	16
[5, 5, 5, 5, 5, 5, 2]	0.5386	16
generation 2
[17, 31, 15, 17, 30, 21, 5]	0.1333	18
[41, 32, 40, 40, 32, 23, 4]	0.1409	18
[31, 36, 31, 37, 31, 22, 4]	0.1423	18
[36, 17, 36, 37, 15, 25, 4]	0.1446	18
[40, 5, 40, 40, 6, 30, 2]	0.1469	18
[40, 5, 40, 40, 33, 30, 3]	0.1486	18
[41, 17, 42, 42, 15, 27, 4]	0.1489	18
[19, 31, 17, 17, 32, 21, 7]	0.1493	18
[30, 30, 30, 30, 30, 20, 4]	0.1495	16
[25, 25, 25, 25, 25, 15, 6]	0.1524	16
[30, 27, 31, 26, 30, 20, 4]	0.1543	18
[15, 15, 16, 42, 16, 10, 5]	0.1679	18
[15, 15, 15, 15, 15, 10, 4]	0.1921	16
[40, 40, 40, 40, 40, 30, 8]	0.2481	16
[35, 35, 35, 35, 35, 25, 8]	0.2551	16
[5, 5, 5, 5, 5, 5, 2]	0.5386	16
generation 3
[33, 33, 15, 34, 31, 24, 5]	0.1266	18
[17, 31, 15, 17, 30, 21, 5]	0.1333	18
[19, 31, 28, 19, 34, 17, 5]	0.1377	18
[41, 32, 40, 40, 32, 23, 4]	0.1409	18
[42, 34, 15, 19, 32, 21, 6]	0.1420	18
[31, 36, 31, 37, 31, 22, 4]	0.1423	18
[36, 17, 36, 37, 15, 25, 4]	0.1446	18
[40, 5, 40, 40, 6, 30, 2]	0.1469	18
[40, 5, 40, 40, 33, 30, 3]	0.1486	18
[41, 17, 42, 42, 15, 27, 4]	0.1489	18
[19, 31, 17, 17, 32, 21, 7]	0.1493	18
[30, 30, 30, 30, 30, 20, 4]	0.1495	16
[25, 25, 25, 25, 25, 15, 6]	0.1524	16
[30, 27, 31, 26, 30, 20, 4]	0.1543	18
[32, 33, 40, 39, 32, 23, 4]	0.1551	18
[15, 15, 16, 42, 16, 10, 5]	0.1679	18
[31, 20, 33, 39, 18, 23, 6]	0.1731	18
[15, 15, 15, 15, 15, 10, 4]	0.1921	16
[40, 40, 40, 40, 40, 30, 8]	0.2481	16
[35, 35, 35, 35, 35, 25, 8]	0.2551	16
[5, 5, 5, 5, 5, 5, 2]	0.5386	16
generation 4
[34, 35, 17, 34, 31, 25, 5]	0.1217	18
[33, 33, 15, 34, 31, 24, 5]	0.1266	18
[18, 32, 17, 18, 33, 24, 5]	0.1304	18
[33, 32, 15, 17, 32, 22, 6]	0.1310	18
[17, 31, 15, 17, 30, 21, 5]	0.1333	18
[33, 35, 28, 32, 33, 19, 5]	0.1351	18
[19, 31, 28, 19, 34, 17, 5]	0.1377	18
[41, 32, 40, 40, 32, 23, 4]	0.1409	18
[42, 34, 15, 19, 32, 21, 6]	0.1420	18
[31, 36, 31, 37, 31, 22, 4]	0.1423	18
[36, 17, 36, 37, 15, 25, 4]	0.1446	18
[40, 5, 40, 40, 6, 30, 2]	0.1469	18
[40, 5, 40, 40, 33, 30, 3]	0.1486	18
[41, 17, 42, 42, 15, 27, 4]	0.1489	18
[19, 31, 17, 17, 32, 21, 7]	0.1493	18
[30, 30, 30, 30, 30, 20, 4]	0.1495	16
[25, 25, 25, 25, 25, 15, 6]	0.1524	16
[30, 27, 31, 26, 30, 20, 4]	0.1543	18
[32, 33, 40, 39, 32, 23, 4]	0.1551	18
[35, 36, 16, 19, 32, 26, 7]	0.1621	18
[15, 15, 16, 42, 16, 10, 5]	0.1679	18
[31, 20, 33, 39, 18, 23, 6]	0.1731	18
[15, 15, 15, 15, 15, 10, 4]	0.1921	16
[40, 40, 40, 40, 40, 30, 8]	0.2481	16
[35, 35, 35, 35, 35, 25, 8]	0.2551	16
[5, 5, 5, 5, 5, 5, 2]	0.5386	16
generation 5
[34, 35, 17, 34, 31, 25, 5]	0.1217	18
[33, 33, 15, 34, 31, 24, 5]	0.1266	18
[18, 32, 17, 18, 33, 24, 5]	0.1304	18
[33, 32, 15, 17, 32, 22, 6]	0.1310	18
[19, 31, 16, 17, 32, 22, 5]	0.1331	18
[17, 31, 15, 17, 30, 21, 5]	0.1333	18
[19, 32, 15, 33, 35, 19, 5]	0.1343	18
[33, 35, 28, 32, 33, 19, 5]	0.1351	18
[19, 31, 28, 19, 34, 17, 5]	0.1377	18
[41, 32, 40, 40, 32, 23, 4]	0.1409	18
[42, 34, 15, 19, 32, 21, 6]	0.1420	18
[31, 36, 31, 37, 31, 22, 4]	0.1423	18
[33, 33, 19, 20, 34, 24, 6]	0.1441	18
[36, 17, 36, 37, 15, 25, 4]	0.1446	18
[40, 5, 40, 40, 6, 30, 2]	0.1469	18
[40, 5, 40, 40, 33, 30, 3]	0.1486	18
[41, 17, 42, 42, 15, 27, 4]	0.1489	18
[19, 31, 17, 17, 32, 21, 7]	0.1493	18
[30, 30, 30, 30, 30, 20, 4]	0.1495	16
[25, 25, 25, 25, 25, 15, 6]	0.1524	16
[20, 33, 19, 34, 35, 25, 6]	0.1529	18
[19, 31, 15, 35, 32, 22, 7]	0.1535	18
[30, 27, 31, 26, 30, 20, 4]	0.1543	18
[32, 33, 40, 39, 32, 23, 4]	0.1551	18
[35, 36, 16, 19, 32, 26, 7]	0.1621	18
[15, 15, 16, 42, 16, 10, 5]	0.1679	18
[31, 20, 33, 39, 18, 23, 6]	0.1731	18
[15, 15, 15, 15, 15, 10, 4]	0.1921	16
[40, 40, 40, 40, 40, 30, 8]	0.2481	16
[35, 35, 35, 35, 35, 25, 8]	0.2551	16
[5, 5, 5, 5, 5, 5, 2]	0.5386	16
generation 6
[34, 35, 17, 34, 31, 25, 5]	0.1217	18
[34, 31, 16, 19, 32, 23, 5]	0.1254	18
[33, 33, 15, 34, 31, 24, 5]	0.1266	18
[19, 31, 17, 19, 32, 22, 6]	0.1292	18
[18, 32, 17, 18, 33, 24, 5]	0.1304	18
[33, 32, 15, 17, 32, 22, 6]	0.1310	18
[19, 31, 16, 17, 32, 22, 5]	0.1331	18
[17, 31, 15, 17, 30, 21, 5]	0.1333	18
[19, 32, 15, 33, 35, 19, 5]	0.1343	18
[18, 31, 18, 18, 35, 24, 6]	0.1344	18
[33, 35, 28, 32, 33, 19, 5]	0.1351	18
[19, 31, 28, 19, 34, 17, 5]	0.1377	18
[41, 32, 40, 40, 32, 23, 4]	0.1409	18
[42, 34, 15, 19, 32, 21, 6]	0.1420	18
[31, 36, 31, 37, 31, 22, 4]	0.1423	18
[33, 33, 19, 20, 34, 24, 6]	0.1441	18
[36, 17, 36, 37, 15, 25, 4]	0.1446	18
[40, 5, 40, 40, 6, 30, 2]	0.1469	18
[40, 5, 40, 40, 33, 30, 3]	0.1486	18
[41, 17, 42, 42, 15, 27, 4]	0.1489	18
