generation 0
[30, 30, 30, 30, 30, 20, 4]	0.1495	16
[25, 25, 25, 25, 25, 15, 6]	0.1524	16
[15, 15, 15, 15, 15, 10, 4]	0.1921	16
[40, 40, 40, 40, 40, 30, 8]	0.2481	16
[35, 35, 35, 35, 35, 25, 8]	0.2551	16
[5, 5, 5, 5, 5, 5, 2]	0.5386	16
generation 1
[17, 31, 15, 17, 30, 21, 5]	0.1333	18
[31, 36, 31, 37, 31, 22, 4]	0.1423	18
[36, 17, 36, 37, 15, 25, 4]	0.1446	18
[40, 5, 40, 40, 6, 30, 2]	0.1469	18
[30, 30, 30, 30, 30, 20, 4]	0.1495	16
[25, 25, 25, 25, 25, 15, 6]	0.1524	16
[30, 30, 31, 25, 30, 16, 4]	0.1542	2
[15, 15, 16, 42, 16, 10, 5]	0.1679	18
[26, 15, 15, 15, 16, 17, 8]	0.1841	2
[15, 15, 15, 15, 15, 10, 4]	0.1921	16
[26, 42, 27, 41, 40, 17, 8]	0.1992	2
[40, 31, 40, 32, 32, 21, 6]	0.2025	2
[7, 5, 36, 7, 36, 26, 9]	0.2325	2
[17, 6, 5, 7, 7, 7, 3]	0.2475	2
[40, 40, 40, 40, 40, 30, 8]	0.2481	16
[35, 35, 35, 35, 35, 25, 8]	0.2551	16
[27, 37, 25, 27, 27, 26, 9]	0.2683	2
[35, 37, 37, 41, 37, 26, 8]	0.2775	2
[5, 5, 5, 5, 5, 5, 2]	0.5386	16
[25, 27, 25, 27, 6, 5, 2]	0.5650	2
[7, 31, 32, 6, 6, 7, 2]	0.9908	2
generation 2
[17, 31, 15, 17, 30, 21, 5]	0.1333	18
[41, 32, 40, 40, 32, 23, 4]	0.1409	18
[31, 33, 15, 32, 32, 20, 6]	0.1416	2
[31, 36, 31, 37, 31, 22, 4]	0.1423	18
[38, 19, 27, 26, 16, 17, 6]	0.1434	2
[17, 31, 26, 19, 31, 16, 7]	0.1434	2
[36, 17, 36, 37, 15, 25, 4]	0.1446	18
[40, 5, 40, 40, 6, 30, 2]	0.1469	18
[40, 5, 40, 40, 33, 30, 3]	0.1486	18
[41, 17, 42, 42, 15, 27, 4]	0.1489	18
[19, 31, 17, 17, 32, 21, 7]	0.1493	18
[30, 30, 30, 30, 30, 20, 4]	0.1495	16
[25, 25, 25, 25, 25, 15, 6]	0.1524	16
[37, 17, 31, 38, 31, 21, 4]	0.1525	2
[32, 36, 36, 39, 17, 25, 6]	0.1533	2
[30, 30, 31, 25, 30, 16, 4]	0.1542	2
[30, 27, 31, 26, 30, 20, 4]	0.1543	18
[19, 36, 32, 19, 32, 21, 6]	0.1592	2
[15, 15, 16, 42, 16, 10, 5]	0.1679	18
[30, 30, 32, 40, 31, 22, 6]	0.1775	2
[26, 15, 15, 15, 16, 17, 8]	0.1841	2
[41, 27, 27, 41, 8, 15, 2]	0.1908	2
[15, 15, 15, 15, 15, 10, 4]	0.1921	16
[25, 36, 27, 38, 31, 16, 7]	0.1933	2
[26, 42, 27, 41, 40, 17, 8]	0.1992	2
[32, 36, 31, 37, 31, 21, 6]	0.2000	2
[40, 31, 40, 32, 32, 21, 6]	0.2025	2
[7, 5, 36, 7, 36, 26, 9]	0.2325	2
[17, 6, 5, 7, 7, 7, 3]	0.2475	2
[40, 40, 40, 40, 40, 30, 8]	0.2481	16
[35, 35, 35, 35, 35, 25, 8]	0.2551	16
[27, 37, 25, 27, 27, 26, 9]	0.2683	2
[35, 37, 37, 41, 37, 26, 8]	0.2775	2
[5, 5, 5, 5, 5, 5, 2]	0.5386	16
[25, 27, 25, 27, 6, 5, 2]	0.5650	2
[7, 31, 32, 6, 6, 7, 2]	0.9908	2
generation 3
[33, 33, 15, 34, 31, 24, 5]	0.1266	18
[17, 31, 15, 17, 30, 21, 5]	0.1333	18
[19, 31, 28, 19, 34, 17, 5]	0.1377	18
[41, 32, 40, 40, 32, 23, 4]	0.1409	18
[31, 33, 15, 32, 32, 20, 6]	0.1416	2
[42, 34, 15, 19, 32, 21, 6]	0.1420	18
[31, 36, 31, 37, 31, 22, 4]	0.1423	18
[38, 19, 27, 26, 16, 17, 6]	0.1434	2
[17, 31, 26, 19, 31, 16, 7]	0.1434	2
[36, 17, 36, 37, 15, 25, 4]	0.1446	18
[40, 5, 40, 40, 6, 30, 2]	0.1469	18
[40, 5, 40, 40, 33, 30, 3]	0.1486	18
[41, 17, 42, 42, 15, 27, 4]	0.1489	18
[19, 31, 17, 17, 32, 21, 7]	0.1493	18
[30, 30, 30, 30, 30, 20, 4]	0.1495	16
[25, 25, 25, 25, 25, 15, 6]	0.1524	16
[37, 17, 31, 38, 31, 21, 4]	0.1525	2
[32, 36, 36, 39, 17, 25, 6]	0.1533	2
[30, 30, 31, 25, 30, 16, 4]	0.1542	2
[30, 27, 31, 26, 30, 20, 4]	0.1543	18
[32, 33, 40, 39, 32, 23, 4]	0.1551	18
[17, 32, 16, 19, 32, 18, 7]	0.1583	2
[19, 36, 32, 19, 32, 21, 6]	0.1592	2
[38, 19, 29, 28, 17, 18, 7]	0.1667	2
[15, 15, 16, 42, 16, 10, 5]	0.1679	18
[19, 38, 32, 19, 33, 22, 4]	0.1716	2
[31, 20, 33, 39, 18, 23, 6]	0.1731	18
[30, 30, 32, 40, 31, 22, 6]	0.1775	2
[31, 32, 15, 19, 30, 21, 7]	0.1784	2
[26, 15, 15, 15, 16, 17, 8]	0.1841	2
[41, 27, 27, 41, 8, 15, 2]	0.1908	2
[15, 15, 15, 15, 15, 10, 4]	0.1921	16
[25, 36, 27, 38, 31, 16, 7]	0.1933	2
[26, 42, 27, 41, 40, 17, 8]	0.1992	2
[32, 36, 31, 37, 31, 21, 6]	0.2000	2
[40, 31, 40, 32, 32, 21, 6]	0.2025	2
[33, 37, 32, 39, 31, 23, 6]	0.2150	2
[17, 31, 26, 21, 32, 22, 8]	0.2242	2
[32, 32, 42, 34, 32, 22, 7]	0.2267	2
[39, 19, 28, 17, 32, 19, 7]	0.2291	2
[7, 5, 36, 7, 36, 26, 9]	0.2325	2
[38, 20, 17, 27, 34, 22, 8]	0.2383	2
[17, 6, 5, 7, 7, 7, 3]	0.2475	2
[40, 40, 40, 40, 40, 30, 8]	0.2481	16
[43, 19, 28, 26, 34, 18, 7]	0.2541	2
[35, 35, 35, 35, 35, 25, 8]	0.2551	16
[27, 37, 25, 27, 27, 26, 9]	0.2683	2
[35, 37, 37, 41, 37, 26, 8]	0.2775	2
[5, 5, 5, 5, 5, 5, 2]	0.5386	16
[25, 27, 25, 27, 6, 5, 2]	0.5650	2
[7, 31, 32, 6, 6, 7, 2]	0.9908	2
generation 4
[34, 35, 17, 34, 31, 25, 5]	0.1217	18
[33, 33, 15, 34, 31, 24, 5]	0.1266	18
[18, 32, 17, 18, 33, 24, 5]	0.1304	18
[33, 32, 15, 17, 32, 22, 6]	0.1310	18
[17, 31, 15, 17, 30, 21, 5]	0.1333	18
[33, 35, 28, 32, 33, 19, 5]	0.1351	18
[19, 31, 28, 19, 34, 17, 5]	0.1377	18
[41, 32, 40, 40, 32, 23, 4]	0.1409	18
[31, 33, 15, 32, 32, 20, 6]	0.1416	2
[42, 34, 15, 19, 32, 21, 6]	0.1420	18
[31, 36, 31, 37, 31, 22, 4]	0.1423	18
[38, 19, 27, 26, 16, 17, 6]	0.1434	2
[17, 31, 26, 19, 31, 16, 7]	0.1434	2
[36, 17, 36, 37, 15, 25, 4]	0.1446	18
[40, 5, 40, 40, 6, 30, 2]	0.1469	18
[40, 5, 40, 40, 33, 30, 3]	0.1486	18
[41, 17, 42, 42, 15, 27, 4]	0.1489	18
[18, 31, 17, 21, 36, 21, 5]	0.1492	2
